Profissional,Profissional,Profissional,Profissional,Profissional,Profissional,Função,Serviço,Tempo Minutos ,Valor Normal a partir de:,Valor Promocional a partir de:,Valor Promocional para Pagamento à vista em Dinheiro a partir de:,Valor Promocional para Pagamento em Pix Débito ou Cartão 1 X a partir de:,Valor Promocional para Pagamento em Cartão 2 X a partir de:,Valor Promocional para Pagamento em Cartão 3 X a partir de: ,Valor Promocional para Pagamento em Cartão 4 X a partir de:,Valor Promocional para Pagamento em Cartão 5 X a partir de:,Oferta válida:,Oferta válida até:
Vanessa,,,,,,Micropigmentadora,Revitalização de lábios,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Revitalização labial,180,2.099,1.499,1.499,1.574,1.763,1.794,1.826,1.857,Sim,20/12/2025
Vanessa,,,,,,Micropigmentadora,Curso e treinamento de Lash Lifthing,240,979,699,699,734,822,837,851,866,Não,Encerrado
Vanessa,,,,,,Micropigmentadora,Curso e treinamento de Maquiagem,240,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Vanessa,,,,,,Micropigmentadora,Curso e treinamento de Alongamento de Cílios,240,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Vanessa,,,,,,Micropigmentadora,Curso e treinamento de Brow Lamination,240,979,699,699,734,822,837,851,866,Não,Encerrado
Vanessa,,,,,,Micropigmentadora,Curso e treinamento de Design de Sobrancelhas,240,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Vanessa,,,,,,Micropigmentadora,Curso e treinamento de Micropigmentação,1200,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Curso e treinamento de Nail Designer,240,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Alongamento reconstrução de unha (por unidade),30,69,49,49,51,58,59,60,61,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Alongamento remoção de unhas,30,139,99,99,104,116,119,121,123,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Aplicação de alongamento de unhas com esmaltação em gel,150,419,299,299,314,352,358,364,370,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Aplicação de alongamento de unhas com esmaltação tradicional,150,391,279,279,293,328,334,340,346,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Arte de unha com pedras ou desenhos (por unidade),30,27,19,19,20,22,23,23,24,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Blindagem aplicação com esmaltação tradicional,60,237,169,169,177,199,202,206,209,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Blindagem com esmaltação em gel,60,279,199,199,209,234,238,242,247,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Blindagem manutenção com esmaltação em gel,60,279,199,199,209,234,238,242,247,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Blindagem manutenção com esmaltação tradicional,60,237,169,169,177,199,202,206,209,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Cortar unha da mão,30,41,29,29,30,34,35,35,36,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Cortar unha do pé,30,41,29,29,30,34,35,35,36,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Esmaltação de unha tradicional,30,55,39,39,41,46,47,48,48,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Lixar unha da mão,30,41,29,29,30,34,35,35,36,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Lixar unha do pé,30,41,29,29,30,34,35,35,36,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Manicure esmaltação em gel,60,167,119,119,125,140,142,145,147,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Manicure esmaltação tradicional,60,83,59,59,62,69,71,72,73,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Manicure esmaltação tradicional e francesinha,40,97,69,69,72,81,83,84,85,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Manutenção de alongamento de unhas com esmaltação em gel,120,391,279,279,293,328,334,340,346,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Manutenção de alongamento de unhas com esmaltação tradicional,120,349,249,249,261,293,298,303,309,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Pedicure esmaltação em gel,60,209,149,149,156,175,178,181,185,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Pedicure esmaltação tradicional,60,97,69,69,72,81,83,84,85,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Pedicure esmaltação tradicional com francesinha,60,111,79,79,83,93,95,96,98,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Pedicure remoção de esmaltação em gel,60,69,49,49,51,58,59,60,61,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Reconstrução de unha do pé (por unidade),30,69,49,49,51,58,59,60,61,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Remoção da esmaltação,40,55,39,39,41,46,47,48,48,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Remoção da esmaltação em gel,40,55,39,39,41,46,47,48,48,Sim,20/12/2025
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Alteração do formato da unha ,30,84,60,60,63,71,72,73,74,Sim,20/12/2025
